Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Not classified,INX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.4087,5.5513,5.0921,6.4548,5.4623,5.5554,3.8209,5.9426,5.5213,2.7599,3.7643,5.3795,6.0373,1.0818,0.1189,4.7301,3.7492,4.3939,3.9132,1.2522,2.1415,0.1592,2.8702,4.7209,3.7050,3.0209,3.5379,4.5278,3.7798,2.9390,1.1445,2.0902,1.3954,3.2179,2.6702,3.1054,3.6343,3.0351,3.4255,4.0930,1.4164,1.5398,2.0331,3.2655,2.8199,3.0263,2.5952,0.3851,-3.3972,2.9690,1.8787,1.3931,1.6091,2.1765,2.5021,1.8514,2.5861,2.3438,1.7994,-3.9533,5.7147,2.7784,1.6665
Other small states,OSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,18.3419,11.0246,6.2492,10.7001,0.1948,-4.6002,1.3949,2.0865,4.3023,1.3941,2.9854,7.0596,4.6305,3.0300,4.9427,1.0453,-0.4655,2.5880,2.6297,4.7990,3.8670,4.7549,4.6466,2.7170,7.0214,3.2174,3.4247,4.5182,4.9380,4.9419,6.3973,6.3504,2.0576,-3.5989,2.7134,3.0036,1.6315,1.7015,2.4152,3.3649,3.8912,4.7633,3.9709,4.0642,-5.7173,6.5860,4.5402,2.4799
Pacific island small states,PSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,6.3768,5.5478,11.2702,3.3862,0.3983,0.8201,3.4178,2.2231,8.6676,-3.8663,3.0828,-3.2864,-1.1531,5.4445,-1.7556,5.4319,-2.0453,1.2115,4.6475,3.7762,-0.3817,5.0078,1.9850,4.8065,4.5141,3.1572,-1.1614,1.4657,4.3770,-1.6887,1.0242,2.0656,1.9862,3.9911,2.4398,2.3757,0.4209,2.1312,-0.5921,3.7303,3.8621,1.0060,3.2147,3.6243,3.7792,3.7806,4.0055,2.7632,1.2145,-10.2531,-2.8680,9.3084,5.7585
Post-demographic dividend,PST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.4088,5.5821,5.0142,6.3761,5.4891,5.5060,3.7741,5.8449,5.5755,2.6765,3.7228,5.3035,6.0681,0.8960,-0.0534,4.7426,3.7716,4.2936,3.8117,1.0776,1.9512,0.1990,3.1487,4.7918,3.7255,3.1829,3.5292,4.6671,3.8036,2.7072,1.0277,1.9032,1.1550,3.1374,2.6990,2.9223,3.4266,2.8405,3.5285,4.0350,1.5330,1.5295,2.0178,3.2085,2.7672,2.9206,2.5418,0.3557,-3.3914,2.9100,1.6666,1.2564,1.5091,2.0115,2.2244,1.7979,2.4651,2.2506,1.7686,-4.1237,5.4462,2.4132,1.6893
Pre-demographic dividend,PRE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-0.3040,6.1387,5.8185,4.6606,4.4057,1.1768,-5.7985,3.6354,11.3697,8.6470,9.4306,3.4404,4.0910,8.4118,-0.3833,6.9661,4.7244,-0.1574,5.7299,4.2434,-4.0298,-1.2313,-4.8053,0.6042,3.6597,2.5770,3.9003,3.8129,1.3678,8.3371,-8.2899,2.3800,-0.4413,-0.0163,3.1073,5.6261,6.3164,6.9681,4.2715,5.5754,4.3318,5.9188,-0.7273,11.9677,5.9731,6.2252,6.0623,6.3870,4.9223,6.5619,4.2967,4.2505,5.8593,5.0989,3.2767,2.3983,1.6153,2.5874,3.3080,-2.5613,3.1543,4.1406,2.3668
Small states,SST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,-1.3385,12.8853,8.9559,6.2254,10.2363,0.6348,-3.2417,0.2737,1.3191,4.8939,1.8097,3.2391,4.8795,4.1708,3.6043,3.1652,0.4880,-0.1743,2.1657,2.9136,4.3349,3.8668,4.0933,4.2413,3.0682,5.8232,2.7010,3.0922,3.8419,4.4632,4.4902,5.8252,5.4866,1.7715,-3.2801,2.4317,2.8014,1.7320,1.4667,2.3519,2.9022,3.2815,4.2429,3.7330,3.4255,-6.4888,6.7865,7.6856,4.5306
South Asia,SAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.2138,3.4080,5.2913,7.7591,-0.5413,1.2428,6.1089,4.6022,5.7772,5.9072,0.6195,-1.7581,3.8818,2.4797,6.8781,2.6069,6.2249,6.1433,-2.5249,6.5228,6.4448,3.8564,6.6692,4.2521,5.4765,4.8344,4.2693,8.3679,5.3829,5.3969,2.1078,5.8067,4.2863,5.9182,6.8238,6.7082,3.6946,5.4452,7.5127,4.1124,4.3591,3.7211,7.1761,7.5487,7.6127,7.6185,7.1392,3.2981,6.9499,7.3660,5.0712,5.3813,6.0086,6.8478,7.2516,7.7762,6.5026,6.3347,3.9243,-4.5827,8.7638,6.3122,6.3529
South Asia (IDA & IBRD),TSA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.2138,3.4080,5.2913,7.7591,-0.5413,1.2428,6.1089,4.6022,5.7772,5.9072,0.6195,-1.7581,3.8818,2.4797,6.8781,2.6069,6.2249,6.1433,-2.5249,6.5228,6.4448,3.8564,6.6692,4.2521,5.4765,4.8344,4.2693,8.3679,5.3829,5.3969,2.1078,5.8067,4.2863,5.9182,6.8238,6.7082,3.6946,5.4452,7.5127,4.1124,4.3591,3.7211,7.1761,7.5487,7.6127,7.6185,7.1392,3.2981,6.9499,7.3660,5.0712,5.3813,6.0086,6.8478,7.2516,7.7762,6.5026,6.3347,3.9243,-4.5827,8.7638,6.3122,6.3529
Sub-Saharan Africa,SSF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.0955,6.0148,6.2828,4.9924,4.6819,2.0373,-0.7588,3.1359,9.0132,7.8456,7.7622,2.9669,4.3229,7.5749,-0.2583,5.1852,2.7791,-0.1603,3.9525,3.7579,-0.8160,-1.2003,-2.5794,2.2472,2.0074,1.9025,2.9517,4.4488,2.3139,2.3541,0.3497,-0.4000,-0.8929,0.9806,3.3189,5.1309,4.0824,2.5023,2.2046,3.4781,4.1985,6.3312,4.0501,6.6020,6.0189,6.0559,6.1622,5.1894,3.1805,5.9956,4.4144,3.2582,5.0904,4.8708,2.9204,1.2420,2.4843,2.7550,2.6597,-1.9669,4.2649,3.6606,2.9551
Sub-Saharan Africa (excluding high income),SSA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.0989,6.0136,6.2807,4.9919,4.6851,2.0309,-0.7596,3.1333,9.0189,7.8451,7.7576,2.9649,4.3199,7.5791,-0.2604,5.1780,2.7855,-0.1742,3.9431,3.7658,-0.8136,-1.1996,-2.5808,2.2457,2.0012,1.9034,2.9501,4.4481,2.3073,2.3495,0.3474,-0.4073,-0.9014,0.9844,3.3220,5.1257,4.0734,2.5024,2.2050,3.4772,4.2062,6.3369,4.0607,6.6111,6.0163,6.0528,6.1597,5.1970,3.1854,5.9968,4.4103,3.2584,5.0937,4.8714,2.9155,1.2327,2.4800,2.7528,2.6568,-1.9567,4.2684,3.6503,2.9549
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.0955,6.0148,6.2828,4.9924,4.6819,2.0373,-0.7588,3.1359,9.0132,7.8456,7.7622,2.9669,4.3229,7.5749,-0.2583,5.1852,2.7791,-0.1603,3.9525,3.7579,-0.8160,-1.2003,-2.5794,2.2472,2.0074,1.9025,2.9517,4.4488,2.3139,2.3541,0.3497,-0.4000,-0.8929,0.9806,3.3189,5.1309,4.0824,2.5023,2.2046,3.4781,4.1985,6.3312,4.0501,6.6020,6.0189,6.0559,6.1622,5.1894,3.1805,5.9956,4.4144,3.2582,5.0904,4.8708,2.9204,1.2420,2.4843,2.7550,2.6597,-1.9669,4.2649,3.6606,2.9551
Upper middle income,UMC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.4115,3.1192,4.4903,8.7385,7.6824,6.2591,3.8088,6.9738,8.3509,8.3954,6.6722,7.7219,7.7539,6.3542,4.5421,6.5677,4.3114,3.7812,5.5659,4.6358,1.8487,3.0522,1.4363,5.3690,4.6791,3.6699,4.9439,3.3769,2.9783,2.7140,3.0733,4.5185,5.8808,5.5181,4.4170,6.1986,6.0751,2.9542,3.2032,5.9568,3.4199,4.7876,5.8697,7.8566,7.4998,8.6007,9.4087,6.2654,3.4694,8.5250,6.9414,5.7611,5.6354,4.9354,4.5460,4.5777,5.3547,4.9040,4.0902,-0.5944,7.7223,3.3572,4.3462
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.9697,5.3190,5.0188,6.5832,5.5958,5.4384,3.7355,5.9257,5.9789,3.7357,4.3072,5.6374,6.4082,1.9143,0.5267,5.2143,4.0184,4.0892,4.1824,1.8816,1.9264,0.2965,2.5862,4.6743,3.7028,3.3514,3.7246,4.5917,3.7172,2.7645,1.2558,2.0193,1.8130,3.3239,3.0846,3.5747,3.9297,2.8539,3.5497,4.5311,2.0254,2.3028,3.1043,4.4693,4.0059,4.4428,4.3733,2.0625,-1.3558,4.5295,3.3271,2.7091,2.8682,3.1239,3.1261,2.8206,3.4602,3.2866,2.6422,-2.9320,6.2599,3.0896,2.7193
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4320,28.6000,8.8323,1.4141,11.2297,5.3574,13.8263,3.9250,21.3905,14.3624,0.4264,12.7523,5.6007,2.7245,1.4513,2.2603,2.6470,1.1892,3.9116,-2.3511,-20.7388,-6.2402,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.7456,2.9486,1.1049,-1.2516,1.7806,5.6372,-0.7878,-1.4200,9.8365,-9.5756,-28.0021,-7.1871,9.5594,8.3029,13.3223,9.1000,-10.9200,8.8294,12.8908,6.9462,8.2933,4.5365,5.5286,5.5147,5.5264,5.9027,5.9833,7.5000,3.3543,3.7069,2.5454,1.4172,1.0020,1.7744,2.2187,3.3150,3.8026,4.0193,2.0877,-3.3021,8.9085,4.8564,3.4391
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.6054,-19.6850,34.3137,5.8394,6.2069,-4.8050,9.4530,10.7962,8.4333,8.8627,-11.3317,27.4240,3.8132,7.4949,5.0453,8.3868,5.2586,9.2148,7.4778,0.7906,3.0000,6.4000,5.4000,5.6000,3.7000,0.4000,-0.7000,-1.0000,4.4000,0.8000,-1.2000,1.8000,-2.1000,-0.9000,3.8000,4.1000,1.1000,5.1000,3.2000,3.8000,3.0000,5.4000,6.5000,4.5000,5.4000,2.9000,3.1000,2.5000,1.2000,4.8000,3.0000,2.4000,2.6000,4.1000,3.2000,3.9000,1.5000,1.4000,0.9000,-5.0000,3.8000,3.6000,4.1000
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9655,0.4098,-0.4082,-4.0984,1.8519,-2.6573,-4.1667,0.2999,0.0000,-4.3348,-2.5000,1.7628,3.1496,-1.6794,-6.9876,2.6711,-0.4878,4.4118,-0.7825,1.7350,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.6495,8.1497,7.7885,5.6188,0.5422,3.3038,2.8386,1.4630,0.0416,2.2087,-0.1325,1.2465,1.7701,1.7847,2.3214,3.2533,5.5471,5.0943,4.8270,3.7814,2.5460,0.9292,-1.0315,2.3832,2.7575,4.6497,9.0677,3.1948,4.0991,3.5284,8.1194,4.5464,8.6942,8.1357,5.3978,4.8087,1.5532,-5.5592,-5.3028,-1.9750,-0.0081,-4.9744,-3.5476,2.5045,1.4341,3.7097,0.3461,1.5888,2.0155,-11.1839,8.2872,9.5638,1.4442
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.4000,0.0000,4.2000,6.0000,3.5000,2.9000,4.0827,6.1289,0.0416,-3.4501,0.9914,-5.8383,-23.9834,1.3394,15.0000,13.5444,7.2743,4.6911,2.1815,3.0546,4.2060,13.6657,2.9900,10.9500,15.0300,11.5500,14.0100,11.1700,0.8600,4.3984,3.4721,8.5421,4.9546,4.8226,0.9436,-2.5801,-0.1471,-1.3164,-0.7023,-5.6382,1.1992,3.0454,0.8560
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.3835,8.0803,8.1610,3.8152,-0.0843,5.3638,10.1652,7.6438,11.4942,6.6261,5.2136,5.2522,3.0113,2.1768,1.1585,5.2803,6.6759,-4.3594,6.6049,5.4712,4.7312,3.7077,6.2035,-4.5481,1.0272,6.0769,5.7667,6.4739,12.7080,9.3153,-0.0140,-11.9630,-7.8404,-1.9587,3.3728,-0.6007,2.2115,1.4452,4.0998,2.4633,6.9532,3.1004,-18.8804,8.1917,9.5164,3.8620
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.4278,-0.8520,-5.3082,10.1303,10.5694,-0.6597,3.1920,4.8225,9.6795,3.0456,5.6581,1.6284,2.8118,5.5338,-0.0284,-2.0183,6.9341,-4.5061,10.2228,1.5188,-5.1898,-0.7357,4.3491,1.5707,-5.1890,6.1534,2.7049,-1.0899,-7.1569,-2.4672,9.1331,7.9373,8.2070,5.8362,-2.8452,5.5267,8.1110,3.8502,-3.3855,-0.7890,-4.4088,-10.8945,8.8370,9.0296,8.8517,8.0472,9.0077,4.0572,-5.9185,10.1254,6.0040,-1.0264,2.4053,-2.5126,2.7312,-2.0803,2.8185,-2.6174,-2.0009,-9.9005,10.7180,4.9564,-1.5505
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7000,-41.8000,-8.8000,5.4000,6.9000,5.8654,3.3211,7.3000,3.3000,5.9000,9.6000,13.2000,14.0000,10.5000,13.9000,13.2000,13.7000,6.9000,-14.1000,2.2000,4.7000,7.2000,3.3000,3.6000,3.2000,0.2000,7.5000,5.2000,7.6000,-7.2000,5.8000,12.6000,8.7000
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0784,18.6486,12.1298,3.9614,7.9629,5.8824,7.3077,8.2039,2.5471,1.1858,7.0469,1.9920,1.2380,7.6229,4.1820,-0.9450,1.1105,7.2937,-0.3831,1.1274,3.0895,1.8358,-11.6777,-2.7335,3.3692,-1.0408,6.4315,-1.5866,-0.6236,1.7196,7.0485,2.3817,-2.3028,-23.9826,27.6394,10.4583,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.4826,1.2943,6.2164,6.9804,5.9804,2.3788,6.3051,5.0938,7.0452,7.1758,4.0006,3.9103,2.6193,4.1073,1.3364,2.5888,3.5952,0.8934,4.0504,3.0357,3.3399,3.3252,-2.2245,4.5917,5.2785,3.9657,2.5626,5.7539,3.8786,3.5791,-0.3819,0.4277,4.0452,3.9797,3.8832,3.8639,3.9132,4.6633,5.0276,3.9215,2.0251,3.9796,3.0907,4.2243,3.1541,2.7553,3.7734,3.5862,1.8926,2.2265,2.4090,3.9184,2.6062,2.6074,2.2018,2.7791,2.3187,2.9064,2.1811,-0.3347,2.1118,4.2689,3.0170
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.5380,2.6487,4.1383,6.1244,3.4802,5.6429,3.0080,4.4723,6.2759,7.1229,5.1150,6.2079,4.8904,3.9421,-0.3637,4.5784,5.0800,-0.2107,5.3567,1.7315,-0.1443,2.0113,2.9731,0.0513,2.4987,2.3014,1.3572,3.2959,3.8871,4.3456,3.4416,2.0935,0.5268,2.4021,2.6680,2.3495,2.0936,3.5814,3.5563,3.3757,1.2672,1.6516,0.9415,2.7351,2.2441,3.4540,3.7274,1.4604,-3.7646,1.8371,2.9228,0.6804,0.0255,0.6613,1.0145,1.9894,2.2586,2.4254,1.4505,-6.6330,4.2379,4.8064,-0.8288
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7000,-22.6000,-23.1000,-19.7000,-11.8000,1.3000,5.8000,10.0000,7.4000,11.1000,9.9000,9.4389,10.2083,9.2538,27.9615,34.5000,25.0000,10.7590,9.2964,5.0489,0.1000,2.1652,5.8098,2.7505,1.0940,-3.1000,0.2000,1.5000,2.5000,-4.3000,5.6165,4.7148,1.1240
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.6671,10.4520,10.5241,10.5016,10.4256,9.0719,9.5981,8.4218,8.9817,-5.6496,1.6265,-3.4973,7.5676,-16.7542,-14.8031,5.1852,9.1549,14.1795,26.1393,6.4953,-9.2264,6.6989,3.5971,14.1711,4.8292,1.7970,2.9845,2.3097,6.7273,-1.5962,-4.1818,-3.8256,0.3078,3.1489,4.3788,4.2235,1.2878,4.7168,7.1441,4.1484,2.6260,2.7050,-1.2649,0.8824,3.3961,2.5166,1.4461,-2.3236,-4.1754,1.5387,0.6132,2.9979,-2.8633,1.8473,0.9968,-0.9619,2.7995,2.6299,-1.3573,-21.4235,15.4031,10.7820,2.6391
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,1.6071,11.0721,13.9241,8.4722,-8.8348,30.4763,13.0176,3.8623,3.4693,2.5803,-5.3167,-7.5562,6.3764,5.0036,-4.7583,1.1830,10.3990,7.0000,0.3640,4.4380,11.2300,6.6900,12.8700,-0.2500,3.9300,4.1100,3.0930,4.7900,4.3000,5.3001,2.4909,3.3486,6.2964,6.9810,6.7690,6.4670,8.2940,6.2450,2.5399,4.3343,1.9835,3.7281,5.4168,4.3504,2.8630,3.4735,3.8117,2.2895,2.1670,-4.6446,2.5904,4.8915,2.4815
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.0582,5.4530,-0.4559,10.9528,1.6063,2.5668,-1.8759,9.4895,1.2209,5.6199,-5.4795,-13.9737,3.3257,9.5920,-4.0882,5.6614,2.6731,7.0738,4.8016,0.8191,7.2339,2.1343,3.8810,4.8033,3.3420,4.1734,3.7724,2.4163,2.8366,5.6223,3.4852,5.4427,4.7116,3.8901,5.1213,4.5229,4.4899,5.1770,4.6702,5.2933,5.0773,3.8331,4.7396,5.2395,6.5359,6.6719,7.0586,6.0138,5.0451,5.5718,6.4644,6.5215,6.0136,6.0611,6.5526,7.1135,6.5902,7.3194,7.8819,3.4480,6.9387,7.0998,5.7751
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.6965,9.0608,-5.0784,5.0049,11.4348,4.0034,10.6361,6.9218,7.5184,9.5094,3.9127,1.2738,1.3407,-4.6508,-1.9000,4.3602,3.6422,4.8769,7.8930,4.3731,-1.8998,-4.9009,0.5013,3.6004,1.0982,5.1042,2.5910,3.5054,3.6000,-3.3076,-3.8999,-5.6925,0.7931,2.0108,2.0140,3.9765,4.7401,3.7285,0.3347,4.4472,-2.3655,0.7874,2.1755,1.4116,3.9555,6.0705,2.0792,0.6335,-5.0173,-2.2177,-0.7724,-0.2491,-1.3135,-0.0583,2.4239,2.5527,0.5148,-0.7464,0.3799,-12.5397,-1.1832,13.4809,4.5165
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2000,-9.6000,-7.6000,-11.7000,-10.4000,2.8000,11.4000,8.4000,3.4000,5.8000,4.7253,5.0453,7.0432,11.4497,9.4000,10.0000,8.6000,10.2000,0.2000,7.7983,5.3787,1.6871,1.0035,1.7262,-3.8297,-2.5258,2.5316,3.1496,1.4462,-0.6729,2.4389,-4.6582,3.8862
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.9784,5.2120,4.3516,6.9567,3.5607,3.1559,3.8681,4.1941,6.6298,6.3527,3.9858,5.2956,6.3817,4.5653,-1.9659,5.6527,0.6262,2.8419,2.3411,4.4441,-0.2793,0.5950,0.3118,2.4664,1.6518,1.8228,2.3067,4.7232,3.4692,3.1374,1.8331,1.5307,-0.9619,3.2270,2.3848,1.3215,3.7937,1.9618,3.5427,3.7167,1.0996,1.7069,1.0380,3.5712,2.3217,2.5523,3.6769,0.4469,-2.0207,2.8643,1.6945,0.7392,0.4592,1.5785,2.0415,1.2667,1.6196,1.7929,2.2408,-5.3045,6.9280,3.0147,1.3651
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.8923,4.8927,4.9564,4.9999,4.9305,4.7708,4.9131,7.3672,5.1064,4.8077,3.9594,10.2183,5.3519,13.5600,3.5928,-0.0340,6.4966,7.9208,7.5170,13.4367,1.1338,-0.1077,-2.1432,1.9721,1.0125,4.5395,10.7353,9.7877,13.0092,9.4747,11.7787,12.7362,6.1379,-0.0200,0.7316,1.1053,4.2346,3.8930,9.4232,12.2406,4.9936,5.3991,9.6652,4.7807,2.2192,4.5115,3.2970,-1.5386,-0.4507,1.2400,-0.2982,3.6616,4.4376,4.0053,3.2255,-0.0110,-1.8134,1.0556,4.2362,-13.7317,17.8624,8.7343,4.5416
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.1413,-3.4264,4.7300,6.6508,5.2939,3.5759,1.0784,3.8423,2.8775,2.0978,-1.4968,6.4264,3.7062,3.3393,-4.8953,0.8844,4.9837,1.2551,6.5357,6.7818,9.9542,2.2351,-4.3478,7.9298,7.5303,2.1711,-1.5000,3.4052,-2.8542,8.9761,4.2258,2.9577,5.8362,2.0204,6.0452,4.3243,5.7347,3.9610,5.3414,5.8577,5.3331,4.6430,3.4436,4.4297,1.7132,3.9437,5.9863,4.8966,2.3193,2.1141,2.9638,4.8112,7.1914,6.3577,1.7782,3.3397,5.6716,6.6973,6.8657,3.8488,7.1555,6.2532,6.3528
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.6800,4.4700,1.0700,11.1100,4.7600,14.3636,13.2750,2.1053,3.4364,6.3123,3.4375,1.8127,1.4837,0.8772,3.7681,8.9385,5.8974,1.4528,2.1480,7.9439,2.3810,-5.2854,2.0089,0.4814,-2.0035,6.6667,3.7500,4.0562,0.4438,0.0192,-3.5344,-0.0597,3.0086,0.5996,4.3991,2.6005,4.6000,3.9000,3.3826,9.3172,7.2224,-1.4778,3.4107,2.3213,1.6742,5.5439,3.3451,-1.8660,-5.6267,-2.5029,-3.7427,-5.3053,-0.2797,-3.7011,0.7755,-0.6572,3.6114,-0.4328,0.3063,-6.8429,5.4191,6.4311,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.6771,1.1633,1.4671,5.1583,-3.3073,8.9547,7.9012,7.1265,4.7910,5.0087,15.1223,3.4398,10.4310,4.5567,4.0285,11.3922,29.0543,4.7674,7.3556,10.3831,-0.4079,4.6009,1.9864,4.9515,7.0741,5.5652,5.3738,5.9140,7.9840,3.3551,7.3284,10.4438,7.7866,5.1573,6.9351,5.6408,16.1048,4.5294,7.6675,11.9319,8.3076,5.0955,1.6585,5.7179,6.5685,8.4006,3.5076,3.5019,5.7551,-10.2184,4.4214,5.2139,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.0893,5.5789,6.7976,3.9566,4.9134,7.1706,6.3172,8.5294,4.4741,5.2310,5.0633,7.9675,5.7392,2.9396,7.3110,4.6146,4.9712,2.0527,0.1333,-1.3718,0.2756,-3.9387,-4.0421,-0.2007,-1.6764,-2.5739,2.4635,2.9095,3.7901,4.6358,5.2665,1.6465,4.2693,4.6673,4.6783,4.3613,4.9542,5.0294,0.4269,2.5078,1.6838,2.4856,2.7113,4.1733,4.4214,4.7970,4.5644,6.1485,3.3570,4.1267,5.2041,5.1223,6.7960,5.4606,4.8572,4.2639,4.1952,4.2236,2.2167,-8.7379,6.1114,3.6057,2.4435
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3480,-6.4369,-2.1813,11.1320,15.9683,54.1993,36.6411,16.6164,9.5216,5.4143,2.4233,5.0274,3.8671,6.3253,3.8972,5.4140,5.8571,5.4438,-3.0045,0.8657,0.9595,-0.8218,2.3499,1.1539,4.3148,3.2423,3.2441,3.8275,2.8873,-3.0151,7.3900,4.2268,1.6762
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.3433,6.6667,5.9210,6.8323,5.8140,6.3440,5.9246,10.5671,15.1234,17.1203,25.8211,26.3619,21.3032,8.7978,8.4463,10.6474,12.0120,14.3328,12.1486,11.9869,9.0649,12.1655,13.1467,8.5454,7.1253,8.1729,11.8819,19.4500,13.0594,6.7728,7.4587,2.9171,1.9161,3.6279,7.0304,5.8298,8.3259,0.4437,9.6672,1.9877,0.2506,6.0695,4.6259,2.7058,4.5566,8.3639,5.7926,3.2521,-14.1442,10.1222,6.8385,-0.1709,11.1028,5.6948,-4.8513,7.2044,4.1144,4.1881,3.0322,-8.7288,11.9206,5.4860,2.7309
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6000,6.6000,0.6000,3.4000,2.4000,6.7000,4.2000,9.8000,9.5000,10.4000,11.3429,11.9403,13.9687,8.1539,5.1666,10.2571,4.9343,4.9699,6.7596,9.2000,-4.2500,0.8300,-2.9300,5.4000,7.8500,7.4900,3.5300,-0.0600,3.1600,-4.3500,1.0322,-0.5441,4.9247,5.8529,4.2238,2.2089,3.3948,0.3381,0.4679,4.3879,1.3899,3.0535,1.1408,5.7600,3.2021,3.9620,6.0699,5.0942,-0.1258,7.5282,3.9744,1.9212,3.0048,0.5040,-3.5458,-3.2759,1.3229,1.7837,1.2208,-3.2768,4.7626,3.0167,2.9085
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.3555,20.1554,10.9167,6.7758,22.5624,-6.9967,-19.8267,3.9567,0.5015,0.5999,-1.4907,-2.7155,2.0091,1.0974,-1.0742,1.0894,3.1459,4.7586,0.3046,3.1454,4.4787,2.8783,-1.4712,-0.5585,3.0522,2.8494,2.7440,3.8721,2.9040,0.5043,0.3875,4.3977,0.1546,-1.9397,-1.7645,2.5990,3.7453,0.9128,-2.1260,-2.5084,-0.3924,-2.4779,1.3286,0.0522,3.8691,1.1336,-1.5908,-1.6283,1.4071
